case_id,request_data,status_code,response_expect,response_time,case_comment
test001,python1,200,0,200,测试示例断言成功
test002,python2,200,1,200,
test003,python3,200,2,200,测试示例断言失败
test004,python4,200,3,200,测试示例断言失败
test005,python5,200,4,200,测试示例断言失败
test006,python6,200,5,200,测试示例断言失败
test007,python7,200,6,200,测试示例断言失败
test008,python8,200,7,200,测试示例断言失败
test009,python9,200,8,200,测试示例断言失败
test010,python10,200,9,200,测试示例断言失败
test011,python11,200,10,200,测试示例断言失败
test012,python12,200,11,200,测试示例断言失败
test013,python13,200,12,200,测试示例断言失败
test014,python14,200,13,200,测试示例断言失败
test015,python15,200,14,200,测试示例断言失败
test016,python16,200,15,200,测试示例断言失败
test017,python17,200,16,200,测试示例断言失败
test018,python18,200,17,200,测试示例断言失败
test019,python19,200,18,200,测试示例断言失败
test020,python20,200,19,200,测试示例断言失败
test021,python21,200,20,200,测试示例断言失败
test022,python22,200,21,200,测试示例断言失败
test023,python23,200,22,200,测试示例断言失败
test024,python24,200,23,200,测试示例断言失败
test025,python25,200,24,200,测试示例断言失败
test026,python26,200,25,200,测试示例断言失败
test027,python27,200,26,200,测试示例断言失败
test028,python28,200,27,200,测试示例断言失败
test029,python29,200,28,200,测试示例断言失败
test030,python30,200,29,200,测试示例断言失败
test031,python31,200,30,200,测试示例断言失败
test032,python32,200,31,200,测试示例断言失败
test033,python33,200,32,200,测试示例断言失败
test034,python34,200,33,200,测试示例断言失败
test035,python35,200,34,200,测试示例断言失败
test036,python36,200,35,200,测试示例断言失败
test037,python37,200,36,200,测试示例断言失败
test038,python38,200,37,200,测试示例断言失败
test039,python39,200,38,200,测试示例断言失败
test040,python40,200,39,200,测试示例断言失败
test041,python41,200,40,200,测试示例断言失败
test042,python42,200,41,200,测试示例断言失败
test043,python43,200,42,200,测试示例断言失败
test044,python44,200,43,200,测试示例断言失败
test045,python45,200,44,200,测试示例断言失败
test046,python46,200,45,200,测试示例断言失败
test047,python47,200,46,200,测试示例断言失败
test048,python48,200,47,200,测试示例断言失败
test049,python49,200,48,200,测试示例断言失败
test050,python50,200,49,200,测试示例断言失败
test051,python51,200,50,200,测试示例断言失败
test052,python52,200,51,200,测试示例断言失败
test053,python53,200,52,200,测试示例断言失败
test054,python54,200,53,200,测试示例断言失败
test055,python55,200,54,200,测试示例断言失败
test056,python56,200,55,200,测试示例断言失败
test057,python57,200,56,200,测试示例断言失败
test058,python58,200,57,200,测试示例断言失败
test059,python59,200,58,200,测试示例断言失败
test060,python60,200,59,200,测试示例断言失败
test061,python61,200,60,200,测试示例断言失败
test062,python62,200,61,200,测试示例断言失败
test063,python63,200,62,200,测试示例断言失败
test064,python64,200,63,200,测试示例断言失败
test065,python65,200,64,200,测试示例断言失败
test066,python66,200,65,200,测试示例断言失败
test067,python67,200,66,200,测试示例断言失败
test068,python68,200,67,200,测试示例断言失败
test069,python69,200,68,200,测试示例断言失败
test070,python70,200,69,200,测试示例断言失败
